"Reference","Qty","Value","Exclude from BOM","Exclude from Board","LCSC"
"C14,C15","2","18p","","","C113825"
"C2,C5,C6,C7,C9,C10,C11,C13,C16,C21,C22,C26,C30,C32","14","100nf","","","C49678"
"C8,C12,C18,C19,C23,C24,C27,C28","8","1uf","","","C28323"
"C3,C4","2","2.2uf","","","C377773"
"C31","1","4.7u","","","C1779"
"C17","1","10u","","","C15850"
"C20,C25,C29","3","47uf","","","C16780"
"Y1","1","8mhz","","","C49158084"
"R3","1","1kr","","","C17513"
"CAN_IN1,CAN_OUT1,PowerIn1","3","2 pin Molex","","","C17644051"
"R7,R8","2","5.1kr","","","C27834"
"R5,R9,R10","3","100kr","","","C149504"
"R6","1","120r","",""," C17437"
"R1,R2","2","10k","","","C84376"
"Cam1,Cam2,Cam3","3","Conn_01x03","","","C131339"
"D2,D3","2","D_Schottky","","","C113936"
"FB1","1","FerriteBead","","","C85840"
"U2","1","LDL1117-3.3","","","C435835"
"J1","1","Microsemi_FlashPro-JTAG-10","","","C22438120"
"PowerLED1","1","RLED","","","C965799"
"BootSwitch1,RSTSwitch1","2","SAMZO G4R0015010","","","C49393646"
"U4","1","SN65HVD230","","","C12084"
"D4","1","SRV05-4.TCT","","","C13612"
"U1","1","STM32F405RGT6","","","C15742"
"U3,U5,U6","3","TPS22917DBVR","","","C2681320"
"J3","1","USB_C_Receptacle_USB2.0_16P","","","C165948"
"D5","1","ws2812b","","","C114586"
